modell,språk,CER,WER,aligned semantic distance,semantic distance,semantic distance (sBERT),dialect
nb-whisper-large,nob,0.11447779566328946,0.17263351507587205,0.17900557840824702,0.050623694189454484,0.0735179800861646,sørvest
nb-whisper-large,nob,0.1294487926380624,0.18868221116059733,0.18633468935883443,0.05095755517147269,0.07033865184542383,trøndersk
nb-whisper-large,nob,0.10471044901384809,0.16364390092237538,0.1766832946523771,0.05079754264692123,0.07550716794111864,vest
nb-whisper-large,nob,0.15659741534434812,0.2063487079657132,0.20711715360141747,0.0642225497183014,0.09049314929899029,øst
nb-whisper-large-verbatim,nno,0.0908708886062148,0.19485130936529071,0.17106945808801918,0.05403026869130685,0.056478980988637247,nord
nb-whisper-large-verbatim,nno,0.08628615980212927,0.17046275024614374,0.18725407599030255,0.06084514443815889,0.08014819478035837,sørvest
nb-whisper-large-verbatim,nno,0.09615823664930159,0.2034484565798438,0.2105464873902143,0.06386237626451487,0.0786585463368199,trøndersk
nb-whisper-large-verbatim,nno,0.08860376571219945,0.18219461697722567,0.19656831037828446,0.06592806649986725,0.0855249115504892,vest
nb-whisper-large-verbatim,nno,0.11580058375899092,0.22579734688117414,0.23300087093651747,0.08244259998496023,0.10113737491392741,øst
nb-whisper-large-verbatim,nob,0.05316069026831103,0.0991836508024657,0.11992810019279673,0.030857739646874063,0.04513818441435346,nord
nb-whisper-large-verbatim,nob,0.06160130939981333,0.11561453064441962,0.15805073368938694,0.04805834941924644,0.07287875740881077,sørvest
nb-whisper-large-verbatim,nob,0.05991474992965306,0.12019910924810061,0.15568558000141958,0.04349331415169232,0.06711753498322519,trøndersk
nb-whisper-large-verbatim,nob,0.06065883340327319,0.1176287698207068,0.16164733482087265,0.04828690337726893,0.07684195787873273,vest
nb-whisper-large-verbatim,nob,0.07672174055292001,0.13083613300260605,0.18859647837238247,0.06015447295257351,0.09024181812392065,øst
openai-whisper-large,nno,0.17065691441032163,0.3785508211273857,0.334098719426554,0.12735997425635512,0.13328550241501044,nord
openai-whisper-large,nno,0.1882057210452737,0.38030850016409584,0.39557694055928305,0.14683713640114265,0.1837001684359482,sørvest
openai-whisper-large,nno,0.18035117577468296,0.3974110371573817,0.3938357732616299,0.14410665776671433,0.1665691404025058,trøndersk
openai-whisper-large,nno,0.18023261878683566,0.389648033126294,0.4036914937174868,0.15048039029026472,0.18052148744811536,vest
